"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5187,215,203,1843
"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3185,92,78,901
"Stacionaro lovų skaičius","Šiaulių TLK",1743,57,51,910
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,78,493
"Užimtų lovų skaičius","Vilniaus TLK",3348,129,84,798
"Užimtų lovų skaičius","Kauno TLK",2591,123,53,479
"Užimtų lovų skaičius","Klaipėdos TLK",1640,43,16,352
"Užimtų lovų skaičius","Šiaulių TLK",898,29,12,83
"Užimtų lovų skaičius","Panevėžio TLK",1541,42,26,172
