"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4627,227,216,1678
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,502
"Užimtų lovų skaičius","Vilniaus TLK",2492,143,96,813
"Užimtų lovų skaičius","Kauno TLK",2002,96,47,446
"Užimtų lovų skaičius","Klaipėdos TLK",1467,67,36,458
"Užimtų lovų skaičius","Šiaulių TLK",1024,34,29,208
"Užimtų lovų skaičius","Panevėžio TLK",1464,51,37,284
