"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4685,234,222,1696
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1017
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,502
"Užimtų lovų skaičius","Vilniaus TLK",2412,142,99,793
"Užimtų lovų skaičius","Kauno TLK",1980,93,44,419
"Užimtų lovų skaičius","Klaipėdos TLK",1395,55,35,451
"Užimtų lovų skaičius","Šiaulių TLK",1027,43,27,207
"Užimtų lovų skaičius","Panevėžio TLK",1432,36,22,226
