"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4572,231,220,1668
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1017
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,505
"Užimtų lovų skaičius","Vilniaus TLK",2471,130,94,663
"Užimtų lovų skaičius","Kauno TLK",2052,97,54,412
"Užimtų lovų skaičius","Klaipėdos TLK",1471,61,38,448
"Užimtų lovų skaičius","Šiaulių TLK",1073,40,29,227
"Užimtų lovų skaičius","Panevėžio TLK",1485,30,18,277
