"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5297,233,211,1746
"Stacionaro lovų skaičius","Kauno TLK",4241,162,154,1322
"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
"Stacionaro lovų skaičius","Šiaulių TLK",2008,64,59,965
"Stacionaro lovų skaičius","Panevėžio TLK",2617,91,70,490
"Užimtų lovų skaičius","Vilniaus TLK",3711,133,99,857
"Užimtų lovų skaičius","Kauno TLK",2786,90,38,527
"Užimtų lovų skaičius","Klaipėdos TLK",2137,58,19,412
"Užimtų lovų skaičius","Šiaulių TLK",1177,33,14,86
"Užimtų lovų skaičius","Panevėžio TLK",1743,39,13,207
