"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5198,226,208,1743
"Stacionaro lovų skaičius","Kauno TLK",4090,157,149,1300
"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,965
"Stacionaro lovų skaičius","Panevėžio TLK",2444,84,65,459
"Užimtų lovų skaičius","Vilniaus TLK",3546,131,101,828
"Užimtų lovų skaičius","Kauno TLK",2617,95,42,552
"Užimtų lovų skaičius","Klaipėdos TLK",2023,47,18,409
"Užimtų lovų skaičius","Šiaulių TLK",1132,30,12,78
"Užimtų lovų skaičius","Panevėžio TLK",1533,38,15,177
