"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4685,234,222,1696
"Stacionaro lovų skaičius","Kauno TLK",4248,183,159,1940
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1017
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,500
"Užimtų lovų skaičius","Vilniaus TLK",2546,143,102,918
"Užimtų lovų skaičius","Kauno TLK",2103,108,51,428
"Užimtų lovų skaičius","Klaipėdos TLK",1382,61,31,430
"Užimtų lovų skaičius","Šiaulių TLK",1035,38,28,193
"Užimtų lovų skaičius","Panevėžio TLK",1432,27,15,236
