"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5018,222,210,1789
"Stacionaro lovų skaičius","Kauno TLK",4235,183,163,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3125,103,99,1043
"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",3131,119,89,787
"Užimtų lovų skaičius","Kauno TLK",2211,99,49,397
"Užimtų lovų skaičius","Klaipėdos TLK",1536,50,25,346
"Užimtų lovų skaičius","Šiaulių TLK",984,43,20,159
"Užimtų lovų skaičius","Panevėžio TLK",1491,35,19,198
