"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4636,239,238,1731
"Stacionaro lovų skaičius","Kauno TLK",4271,206,179,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3057,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1086
"Stacionaro lovų skaičius","Panevėžio TLK",2563,87,76,518
"Užimtų lovų skaičius","Vilniaus TLK",2851,138,105,923
"Užimtų lovų skaičius","Kauno TLK",1951,96,54,446
"Užimtų lovų skaičius","Klaipėdos TLK",1457,60,35,418
"Užimtų lovų skaičius","Šiaulių TLK",1040,52,28,186
"Užimtų lovų skaičius","Panevėžio TLK",1363,42,31,283
