"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4693,226,218,1478
"Stacionaro lovų skaičius","Kauno TLK",4271,198,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1063
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,522
"Užimtų lovų skaičius","Vilniaus TLK",2505,162,122,666
"Užimtų lovų skaičius","Kauno TLK",1707,108,61,548
"Užimtų lovų skaičius","Klaipėdos TLK",1307,84,48,430
"Užimtų lovų skaičius","Šiaulių TLK",941,49,25,248
"Užimtų lovų skaičius","Panevėžio TLK",1408,40,27,317
