"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4881,235,223,1786
"Stacionaro lovų skaičius","Kauno TLK",4228,183,163,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1046
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",2697,138,97,877
"Užimtų lovų skaičius","Kauno TLK",2244,98,52,433
"Užimtų lovų skaičius","Klaipėdos TLK",1462,53,24,390
"Užimtų lovų skaičius","Šiaulių TLK",1028,39,19,182
"Užimtų lovų skaičius","Panevėžio TLK",1483,34,18,253
