"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4693,242,235,1734
"Stacionaro lovų skaičius","Kauno TLK",4271,199,177,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2572,92,76,523
"Užimtų lovų skaičius","Vilniaus TLK",2250,148,103,846
"Užimtų lovų skaičius","Kauno TLK",2031,105,55,573
"Užimtų lovų skaičius","Klaipėdos TLK",1336,67,45,419
"Užimtų lovų skaičius","Šiaulių TLK",1023,56,32,219
"Užimtų lovų skaičius","Panevėžio TLK",1368,40,30,306
