"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4719,235,227,1636
"Stacionaro lovų skaičius","Kauno TLK",4271,198,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,518
"Užimtų lovų skaičius","Vilniaus TLK",2381,151,107,680
"Užimtų lovų skaičius","Kauno TLK",1851,97,62,573
"Užimtų lovų skaičius","Klaipėdos TLK",1210,77,48,388
"Užimtų lovų skaičius","Šiaulių TLK",921,39,26,240
"Užimtų lovų skaičius","Panevėžio TLK",1438,48,36,301
