"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4360,183,171,1461
"Stacionaro lovų skaičius","Kauno TLK",3403,155,138,1753
"Stacionaro lovų skaičius","Klaipėdos TLK",3337,99,95,1123
"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,60,1004
"Stacionaro lovų skaičius","Panevėžio TLK",2517,87,76,483
"Užimtų lovų skaičius","Vilniaus TLK",2701,106,71,650
"Užimtų lovų skaičius","Kauno TLK",1882,91,44,309
"Užimtų lovų skaičius","Klaipėdos TLK",1435,46,20,329
"Užimtų lovų skaičius","Šiaulių TLK",978,44,26,147
"Užimtų lovų skaičius","Panevėžio TLK",1441,32,17,210
