"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4692,232,224,1765
"Stacionaro lovų skaičius","Kauno TLK",4271,198,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,518
"Užimtų lovų skaičius","Vilniaus TLK",2502,155,109,1078
"Užimtų lovų skaičius","Kauno TLK",1920,114,58,604
"Užimtų lovų skaičius","Klaipėdos TLK",1270,84,50,358
"Užimtų lovų skaičius","Šiaulių TLK",989,52,33,222
"Užimtų lovų skaičius","Panevėžio TLK",1413,38,30,304
