"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4707,233,222,1718
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2436,137,96,952
"Užimtų lovų skaičius","Kauno TLK",2101,107,59,485
"Užimtų lovų skaičius","Klaipėdos TLK",1462,61,35,454
"Užimtų lovų skaičius","Šiaulių TLK",1028,45,26,211
"Užimtų lovų skaičius","Panevėžio TLK",1461,45,30,269
