"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4723,243,235,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,177,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,518
"Užimtų lovų skaičius","Vilniaus TLK",2272,161,121,832
"Užimtų lovų skaičius","Kauno TLK",2020,103,55,608
"Užimtų lovų skaičius","Klaipėdos TLK",1250,79,45,406
"Užimtų lovų skaičius","Šiaulių TLK",1014,48,30,240
"Užimtų lovų skaičius","Panevėžio TLK",1480,47,32,328
