"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4728,233,222,1668
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1017
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,502
"Užimtų lovų skaičius","Vilniaus TLK",2816,126,95,803
"Užimtų lovų skaičius","Kauno TLK",2195,114,56,529
"Užimtų lovų skaičius","Klaipėdos TLK",1529,71,32,449
"Užimtų lovų skaičius","Šiaulių TLK",1102,49,30,216
"Užimtų lovų skaičius","Panevėžio TLK",1502,35,22,278
