"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4693,242,235,1734
"Stacionaro lovų skaičius","Kauno TLK",4271,199,177,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3057,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2513,87,76,523
"Užimtų lovų skaičius","Vilniaus TLK",2329,149,110,849
"Užimtų lovų skaičius","Kauno TLK",1952,99,57,545
"Užimtų lovų skaičius","Klaipėdos TLK",1315,62,44,408
"Užimtų lovų skaičius","Šiaulių TLK",1021,58,33,207
"Užimtų lovų skaičius","Panevėžio TLK",1423,43,30,326
