"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5292,231,219,1843
"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3432,98,84,1032
"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,59,963
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",3478,129,74,826
"Užimtų lovų skaičius","Kauno TLK",2677,124,58,522
"Užimtų lovų skaičius","Klaipėdos TLK",1766,50,23,340
"Užimtų lovų skaičius","Šiaulių TLK",1023,29,15,82
"Užimtų lovų skaičius","Panevėžio TLK",1610,38,23,227
