"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4693,232,224,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1957
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1073
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,518
"Užimtų lovų skaičius","Vilniaus TLK",2444,162,118,753
"Užimtų lovų skaičius","Kauno TLK",1819,110,50,649
"Užimtų lovų skaičius","Klaipėdos TLK",1279,86,57,375
"Užimtų lovų skaičius","Šiaulių TLK",981,49,27,239
"Užimtų lovų skaičius","Panevėžio TLK",1406,43,28,307
