"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5187,215,203,1843
"Stacionaro lovų skaičius","Kauno TLK",4242,183,162,1954
"Stacionaro lovų skaičius","Klaipėdos TLK",3432,103,99,1160
"Stacionaro lovų skaičius","Šiaulių TLK",2005,64,59,963
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",3197,133,93,766
"Užimtų lovų skaičius","Kauno TLK",2310,121,60,414
"Užimtų lovų skaičius","Klaipėdos TLK",1498,40,13,321
"Užimtų lovų skaičius","Šiaulių TLK",982,35,18,112
"Užimtų lovų skaičius","Panevėžio TLK",1501,30,20,193
