"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4636,239,238,1731
"Stacionaro lovų skaičius","Kauno TLK",4271,206,179,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3057,99,93,1076
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1076
"Stacionaro lovų skaičius","Panevėžio TLK",2563,90,80,528
"Užimtų lovų skaičius","Vilniaus TLK",2536,131,98,756
"Užimtų lovų skaičius","Kauno TLK",2038,93,47,402
"Užimtų lovų skaičius","Klaipėdos TLK",1392,63,43,386
"Užimtų lovų skaičius","Šiaulių TLK",1027,50,25,181
"Užimtų lovų skaičius","Panevėžio TLK",1327,92,35,279
