"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4605,233,222,1601
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1045
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2239,138,104,659
"Užimtų lovų skaičius","Kauno TLK",2059,117,54,501
"Užimtų lovų skaičius","Klaipėdos TLK",1418,66,28,467
"Užimtų lovų skaičius","Šiaulių TLK",1041,46,30,199
"Užimtų lovų skaičius","Panevėžio TLK",1477,39,20,301
