"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5283,233,211,1746
"Stacionaro lovų skaičius","Kauno TLK",4241,162,154,1322
"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
"Stacionaro lovų skaičius","Šiaulių TLK",2012,64,59,965
"Stacionaro lovų skaičius","Panevėžio TLK",2617,91,70,490
"Užimtų lovų skaičius","Vilniaus TLK",3852,130,91,849
"Užimtų lovų skaičius","Kauno TLK",2862,100,39,540
"Užimtų lovų skaičius","Klaipėdos TLK",2107,49,17,416
"Užimtų lovų skaičius","Šiaulių TLK",1183,35,12,95
"Užimtų lovų skaičius","Panevėžio TLK",1700,42,17,214
