"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5297,233,211,1746
"Stacionaro lovų skaičius","Kauno TLK",3949,153,143,1177
"Stacionaro lovų skaičius","Klaipėdos TLK",3318,92,80,975
"Stacionaro lovų skaičius","Šiaulių TLK",1809,58,53,920
"Stacionaro lovų skaičius","Panevėžio TLK",2424,85,66,474
"Užimtų lovų skaičius","Vilniaus TLK",3715,132,101,861
"Užimtų lovų skaičius","Kauno TLK",2531,96,30,509
"Užimtų lovų skaičius","Klaipėdos TLK",1998,59,19,390
"Užimtų lovų skaičius","Šiaulių TLK",1066,26,13,87
"Užimtų lovų skaičius","Panevėžio TLK",1645,41,9,224
