"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4669,232,224,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1063
"Stacionaro lovų skaičius","Panevėžio TLK",2617,87,76,522
"Užimtų lovų skaičius","Vilniaus TLK",2003,148,114,666
"Užimtų lovų skaičius","Kauno TLK",1770,98,53,548
"Užimtų lovų skaičius","Klaipėdos TLK",1170,75,40,420
"Užimtų lovų skaičius","Šiaulių TLK",872,44,31,199
"Užimtų lovų skaičius","Panevėžio TLK",1296,35,25,259
