"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4881,235,223,1786
"Stacionaro lovų skaičius","Kauno TLK",4248,183,163,1969
"Stacionaro lovų skaičius","Klaipėdos TLK",3056,97,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,64,59,1004
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,493
"Užimtų lovų skaičius","Vilniaus TLK",2696,154,105,938
"Užimtų lovų skaičius","Kauno TLK",2305,110,46,474
"Užimtų lovų skaičius","Klaipėdos TLK",1450,58,32,405
"Užimtų lovų skaičius","Šiaulių TLK",1043,37,18,175
"Užimtų lovų skaičius","Panevėžio TLK",1487,37,25,242
