"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5107,220,206,1788
"Stacionaro lovų skaičius","Kauno TLK",4130,160,152,1320
"Stacionaro lovų skaičius","Klaipėdos TLK",3318,92,80,990
"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,963
"Stacionaro lovų skaičius","Panevėžio TLK",2445,85,67,488
"Užimtų lovų skaičius","Vilniaus TLK",3474,123,83,683
"Užimtų lovų skaičius","Kauno TLK",2495,94,41,501
"Užimtų lovų skaičius","Klaipėdos TLK",1785,48,9,362
"Užimtų lovų skaičius","Šiaulių TLK",1108,25,9,75
"Užimtų lovų skaičius","Panevėžio TLK",1559,32,19,189
