"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4712,233,222,1718
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2252,142,104,736
"Užimtų lovų skaičius","Kauno TLK",2043,103,55,501
"Užimtų lovų skaičius","Klaipėdos TLK",1387,70,37,466
"Užimtų lovų skaičius","Šiaulių TLK",991,50,29,192
"Užimtų lovų skaičius","Panevėžio TLK",1437,38,29,286
