"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",5208,226,208,1743
"Stacionaro lovų skaičius","Kauno TLK",4241,162,154,1330
"Stacionaro lovų skaičius","Klaipėdos TLK",3468,98,83,1017
"Stacionaro lovų skaičius","Šiaulių TLK",2013,64,59,965
"Stacionaro lovų skaičius","Panevėžio TLK",2536,87,69,472
"Užimtų lovų skaičius","Vilniaus TLK",3668,139,103,821
"Užimtų lovų skaičius","Kauno TLK",2753,101,44,556
"Užimtų lovų skaičius","Klaipėdos TLK",2006,48,17,394
"Užimtų lovų skaičius","Šiaulių TLK",1103,26,7,86
"Užimtų lovų skaičius","Panevėžio TLK",1591,40,15,197
