"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4630,232,224,1751
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1062
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1045
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,537
"Užimtų lovų skaičius","Vilniaus TLK",2457,153,118,738
"Užimtų lovų skaičius","Kauno TLK",1994,93,44,533
"Užimtų lovų skaičius","Klaipėdos TLK",1315,74,42,455
"Užimtų lovų skaičius","Šiaulių TLK",953,42,25,196
"Užimtų lovų skaičius","Panevėžio TLK",1396,30,21,278
