"description","tlk","total","intensive","ventilated","oxygen_mask"
"Stacionaro lovų skaičius","Vilniaus TLK",4605,233,222,1601
"Stacionaro lovų skaičius","Kauno TLK",4271,196,176,1982
"Stacionaro lovų skaičius","Klaipėdos TLK",3064,99,93,1051
"Stacionaro lovų skaičius","Šiaulių TLK",2003,67,66,1035
"Stacionaro lovų skaičius","Panevėžio TLK",2617,90,80,516
"Užimtų lovų skaičius","Vilniaus TLK",2485,143,106,856
"Užimtų lovų skaičius","Kauno TLK",1933,107,56,500
"Užimtų lovų skaičius","Klaipėdos TLK",1443,66,37,464
"Užimtų lovų skaičius","Šiaulių TLK",1024,49,25,201
"Užimtų lovų skaičius","Panevėžio TLK",1492,43,23,298
