"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO"
1,"0-9",NA,17,7,10,0,17
2,"10-19",NA,38,18,20,0,38
3,"20-29",NA,206,102,104,0,206
4,"30-39",NA,200,105,95,0,200
5,"40-49",NA,259,105,154,0,259
6,"50-59",NA,356,120,236,0,356
7,"60-69",NA,235,101,134,0,235
8,"70-79",NA,136,63,73,0,136
9,"Virš 80",NA,157,44,113,0,157
