"OBJECTID","AMZIAUSGRUPE","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","KITA","VISO"
1,"0-9",NA,18,8,10,0,18
2,"10-19",NA,39,19,20,0,39
3,"20-29",NA,209,104,105,0,209
4,"30-39",NA,202,106,96,0,202
5,"40-49",NA,265,108,157,0,265
6,"50-59",NA,362,124,238,0,362
7,"60-69",NA,245,103,142,0,245
8,"70-79",NA,136,63,73,0,136
9,"Virš 80",NA,159,46,113,0,159
