"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA"
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,271,89,182,93,162,16,1589966792000
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,387,169,218,141,233,9,1589966790000
38,"81","Ukmergės r.","10","Vilniaus apskr.",NA,86,27,59,7,71,8,1589966778000
15,"55","Klaipėdos r.","3","Klaipėdos apskr.",NA,55,24,31,11,41,3,1589966767000
7,"18","Marijampolės","4","Marijampolės apskr.",NA,74,30,44,8,62,3,1589966762000
34,"41","Vilniaus r.","10","Vilniaus apskr.",NA,227,80,147,83,139,3,1589966776000
8,"19","Kauno m.","2","Kauno apskr.",NA,99,49,50,14,82,3,1589966763000
52,"78","Telšių r.","8","Telšių apskr.",NA,9,5,4,1,6,2,1589966786000
54,"56","Kretingos r.","3","Klaipėdos apskr.",NA,59,22,37,30,27,2,1589966787000
23,"84","Šakių r.","4","Marijampolės apskr.",NA,3,1,2,0,2,1,1589966771000
24,"66","Panevėžio r.","5","Panevėžio apskr.",NA,7,4,3,0,6,1,1589966772000
55,"38","Varėnos r.","1","Alytaus apskr.",NA,1,1,0,0,0,1,1589966788000
14,"91","Šiaulių r.","6","Šiaulių apskr.",NA,11,6,5,1,9,1,1589966766000
57,"72","Raseinių r.","2","Kauno apskr.",NA,6,1,5,0,5,1,1589966789000
9,"11","Alytaus m.","1","Alytaus apskr.",NA,28,17,11,0,27,1,1589966763000
31,"25","Palangos m.","3","Klaipėdos apskr.",NA,12,6,6,5,6,1,1589966774000
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,21,13,8,2,18,1,1589966793000
11,"47","Joniškio r.","6","Šiaulių apskr.",NA,15,8,7,0,14,1,1589966765000
3,"39","Vilkaviškio r.","4","Marijampolės apskr.",NA,7,4,3,0,6,1,1589966760000
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,13,8,5,1,11,1,1589966794000
37,"53","Kėdainių r.","2","Kauno apskr.",NA,1,0,1,0,1,0,1589966778000
39,"54","Kelmės r.","6","Šiaulių apskr.",NA,2,1,1,0,2,0,1589966779000
40,"89","Širvintų r.","10","Vilniaus apskr.",NA,8,4,4,1,6,0,1589966779000
41,"48","Kalvarijos","4","Marijampolės apskr.",NA,4,2,2,2,2,0,1589966780000
42,"52","Kauno r.","2","Kauno apskr.",NA,21,14,7,2,19,0,1589966781000
44,"88","Šilutės r.","3","Klaipėdos apskr.",NA,7,4,3,2,5,0,1589966781000
45,"77","Tauragės r.","7","Tauragės apskr.",NA,8,4,4,1,7,0,1589966782000
46,"59","Lazdijų r.","1","Alytaus apskr.",NA,3,1,2,0,3,0,1589966782000
47,"94","Jurbarko r.","7","Tauragės apskr.",NA,2,1,1,0,2,0,1589966783000
48,"42","Elektrėnų","10","Vilniaus apskr.",NA,6,2,4,3,3,0,1589966783000
49,"23","Neringos","3","Klaipėdos apskr.",NA,1,1,0,1,0,0,1589966784000
50,"61","Mažeikių r.","8","Telšių apskr.",NA,7,4,3,2,5,0,1589966785000
51,"45","Ignalinos r.","9","Utenos apskr.",NA,3,1,2,1,2,0,1589966785000
53,"68","Plungės r.","8","Telšių apskr.",NA,7,4,3,0,7,0,1589966786000
56,"33","Alytaus r.","1","Alytaus apskr.",NA,7,4,3,2,5,0,1589966788000
60,"87","Šilalės r.","7","Tauragės apskr.",NA,3,2,1,0,3,0,1589966791000
20,"30","Visagino","9","Utenos apskr.",NA,3,1,2,0,3,0,1589966792000
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,4,3,1,1,3,0,1589966793000
30,"12","Birštono","2","Kauno apskr.",NA,0,0,0,0,0,0,1588673992000
36,"43","Zarasų r.","9","Utenos apskr.",NA,0,0,0,0,0,0,1588673992000
35,"86","Švenčionių r.","10","Vilniaus apskr.",NA,10,6,4,3,7,0,1589966777000
33,"85","Šalčininkų r.","10","Vilniaus apskr.",NA,10,4,6,3,7,0,1589966775000
32,"63","Pagėgių","7","Tauragės apskr.",NA,1,0,1,0,1,0,1589966774000
28,"75","Skuodo r.","3","Klaipėdos apskr.",NA,2,0,2,1,1,0,1589966773000
27,"57","Kupiškio r.","5","Panevėžio apskr.",NA,1,1,0,0,1,0,1588673992000
25,"79","Trakų r.","10","Vilniaus apskr.",NA,5,5,0,0,5,0,1589966772000
22,"73","Rokiškio r.","5","Panevėžio apskr.",NA,3,0,3,0,3,0,1589966770000
19,"71","Radviliškio r.","6","Šiaulių apskr.",NA,3,2,1,0,3,0,1589966770000
18,"62","Molėtų r.","9","Utenos apskr.",NA,3,1,2,2,1,0,1589966769000
17,"32","Akmenės r.","6","Šiaulių apskr.",NA,5,3,2,1,4,0,1589966768000
16,"34","Anykščių r.","9","Utenos apskr.",NA,6,2,4,0,6,0,1589966768000
13,"36","Biržų r.","5","Panevėžio apskr.",NA,10,5,5,0,10,0,1589966766000
12,"58","Kazlų Rūdos","4","Marijampolės apskr.",NA,2,0,2,1,1,0,1589966765000
10,"15","Druskininkų","1","Alytaus apskr.",NA,1,0,1,0,1,0,1589966764000
6,"74","Rietavo","8","Telšių apskr.",NA,6,4,2,0,6,0,1589966762000
5,"46","Jonavos r.","2","Kauno apskr.",NA,9,1,8,0,9,0,1589966761000
4,"69","Prienų r.","2","Kauno apskr.",NA,5,3,2,0,5,0,1589966760000
43,"65","Pakruojo r.","6","Šiaulių apskr.",NA,0,0,0,0,0,0,1588673992000
1,"82","Utenos r.","9","Utenos apskr.",NA,4,1,3,1,3,0,1589966759000
2,"49","Kaišiadorių r.","2","Kauno apskr.",NA,3,1,2,0,3,0,1589966759000
