"OBJECTID","SAV_ID","SAV_PAV","APSK_ID","APSKRITIS","TYRIMAI","TEIGIAMI","VYRAI","MOTERYS","GYDOMA","PASVEIKO","MIRE","ATNUJINTA"
57,"72","Raseinių r.","2","Kauno apskr.",NA,6,1,5,0,5,1,2020-05-24 09:03:48
59,"13","Vilniaus m.","10","Vilniaus apskr.",NA,415,179,236,159,242,10,2020-05-24 09:03:48
60,"87","Šilalės r.","7","Tauragės apskr.",NA,3,2,1,0,3,0,2020-05-24 09:03:49
26,"21","Klaipėdos m.","3","Klaipėdos apskr.",NA,273,90,183,82,175,16,2020-05-24 09:03:50
20,"30","Visagino","9","Utenos apskr.",NA,3,1,2,0,3,0,2020-05-24 09:03:50
58,"67","Pasvalio r.","5","Panevėžio apskr.",NA,4,3,1,1,3,0,2020-05-24 09:03:51
21,"27","Panevėžio m.","5","Panevėžio apskr.",NA,21,13,8,2,18,1,2020-05-24 09:03:51
29,"29","Šiaulių m.","6","Šiaulių apskr.",NA,14,9,5,2,11,1,2020-05-24 09:03:52
30,"12","Birštono","2","Kauno apskr.",NA,0,0,0,0,0,0,2020-05-05 10:19:52
43,"65","Pakruojo r.","6","Šiaulių apskr.",NA,0,0,0,0,0,0,2020-05-05 10:19:52
