"evrk_section_code","evrk_section_title","evrk_chapter_code","evrk_chapter_title","evrk_group_code","evrk_group_title","evrk_class_code","evrk_class_title","evrk_subclass_code","evrk_subclass_title"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","475","Kitos namų ūkio įrangos mažmeninė prekyba specializuotose parduotuvėse","4754","Elektrinių buitinių aparatų ir prietaisų mažmeninė prekyba specializuotose parduotuvėse","475400","Elektrinių buitinių aparatų ir prietaisų mažmeninė prekyba specializuotose parduotuvėse"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","477","Kitų prekių mažmeninė prekyba specializuotose parduotuvėse","4772","Avalynės ir odos gaminių mažmeninė prekyba specializuotose parduotuvėse","477200","Avalynės ir odos gaminių mažmeninė prekyba specializuotose parduotuvėse"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","477","Kitų prekių mažmeninė prekyba specializuotose parduotuvėse","4776","Gėlių, sodinukų, sėklų, trąšų, naminių gyvūnėlių ir jų ėdalo mažmeninė prekyba specializuotose parduotuvėse","477600","Gėlių, sodinukų, sėklų, trąšų, naminių gyvūnėlių ir jų ėdalo mažmeninė prekyba specializuotose parduotuvėse"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","477","Kitų prekių mažmeninė prekyba specializuotose parduotuvėse","4778","Kita naujų prekių mažmeninė prekyba specializuotose parduotuvėse","477830","Ginklų ir šaudmenų specializuota mažmeninė prekyba"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","477","Kitų prekių mažmeninė prekyba specializuotose parduotuvėse","4779","Naudotų daiktų mažmeninė prekyba parduotuvėse","477900","Naudotų daiktų mažmeninė prekyba parduotuvėse"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","477","Kitų prekių mažmeninė prekyba specializuotose parduotuvėse","4779","Naudotų daiktų mažmeninė prekyba parduotuvėse","477910","Antikvarinių daiktų mažmeninė prekyba"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","478","Mažmeninė prekyba kioskuose ir prekyvietėse","4781","Maisto, gėrimų ir tabako gaminių mažmeninė prekyba kioskuose ir prekyvietėse","478100","Maisto, gėrimų ir tabako gaminių mažmeninė prekyba kioskuose ir prekyvietėse"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","478","Mažmeninė prekyba kioskuose ir prekyvietėse","4789","Kitų prekių mažmeninė prekyba kioskuose ir prekyvietėse","478900","Kitų prekių mažmeninė prekyba kioskuose ir prekyvietėse"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","479","Mažmeninė prekyba ne parduotuvėse, kioskuose ar prekyvietėse","4790","Mažmeninė prekyba ne parduotuvėse, kioskuose ar prekyvietėse","479000","Mažmeninė prekyba ne parduotuvėse, kioskuose ar prekyvietėse"
"G","Didmeninė ir mažmeninė prekyba; variklinių transporto priemonių ir motociklų remontas","47","Mažmeninė prekyba, išskyrus variklinių transporto priemonių ir motociklų prekybą","479","Mažmeninė prekyba ne parduotuvėse, kioskuose ar prekyvietėse","4799","Kita mažmeninė prekyba ne parduotuvėse, kioskuose ar prekyvietėse","479910","Mažmeninė prekyba per keliaujančius firmos atstovus"
"H","Transportas ir saugojimas","49","Sausumos transportas ir transportavimas vamzdynais","493","Kitas keleivinis sausumos transportas","4931","Keleivių vežimas miesto arba priemiestiniu sausumos transportu","493100","Keleivių vežimas miesto arba priemiestiniu sausumos transportu"
"H","Transportas ir saugojimas","49","Sausumos transportas ir transportavimas vamzdynais","494","Krovininis kelių transportas ir perkraustymo veikla","4942","Perkraustymo veikla","494200","Perkraustymo veikla"
"H","Transportas ir saugojimas","50","Vandens transportas","504","Vidaus vandenų krovininis transportas","5040","Vidaus vandenų krovininis transportas","504000","Vidaus vandenų krovininis transportas"
"H","Transportas ir saugojimas","51","Oro transportas","512","Krovininis oro transportas ir kosminis transportas","5120","Krovininis oro transportas ir kosminis transportas","512000","Krovininis oro transportas ir kosminis transportas"
"H","Transportas ir saugojimas","52","Sandėliavimas ir transportui būdingų paslaugų veikla","522","Transportui būdingų paslaugų veikla","5223","Oro transportui būdingų paslaugų veikla","522300","Oro transportui būdingų paslaugų veikla"
"H","Transportas ir saugojimas","52","Sandėliavimas ir transportui būdingų paslaugų veikla","522","Transportui būdingų paslaugų veikla","5224","Krovinių tvarkymas","522400","Krovinių tvarkymas"
"H","Transportas ir saugojimas","52","Sandėliavimas ir transportui būdingų paslaugų veikla","522","Transportui būdingų paslaugų veikla","5229","Kita transportui būdingų paslaugų veikla","522900","Kita transportui būdingų paslaugų veikla"
"I","Apgyvendinimo ir maitinimo paslaugų veikla","55","Apgyvendinimo veikla","550","Apgyvendinimo veikla","5500","Apgyvendinimo veikla","550000","Apgyvendinimo veikla"
"I","Apgyvendinimo ir maitinimo paslaugų veikla","55","Apgyvendinimo veikla","552","Poilsiautojų ir kita trumpalaikio apgyvendinimo veikla","5520","Poilsiautojų ir kita trumpalaikio apgyvendinimo veikla","552000","Poilsiautojų ir kita trumpalaikio apgyvendinimo veikla"
"I","Apgyvendinimo ir maitinimo paslaugų veikla","55","Apgyvendinimo veikla","552","Poilsiautojų ir kita trumpalaikio apgyvendinimo veikla","5520","Poilsiautojų ir kita trumpalaikio apgyvendinimo veikla","552010","Poilsio namų veikla"
"I","Apgyvendinimo ir maitinimo paslaugų veikla","56","Maitinimo ir gėrimų teikimo veikla","560","Maitinimo ir gėrimų teikimo veikla","5600","Maitinimo ir gėrimų teikimo veikla","560000","Maitinimo ir gėrimų teikimo veikla"
"I","Apgyvendinimo ir maitinimo paslaugų veikla","56","Maitinimo ir gėrimų teikimo veikla","561","Restoranų ir pagaminto valgio teikimo veikla","5610","Restoranų ir pagaminto valgio teikimo veikla","561000","Restoranų ir pagaminto valgio teikimo veikla"
"J","Informacija ir ryšiai","58","Leidybinė veikla","580","Leidybinė veikla","5800","Leidybinė veikla","580000","Leidybinė veikla"
"J","Informacija ir ryšiai","58","Leidybinė veikla","581","Knygų, periodinių leidinių leidyba ir kita leidybinė veikla","5813","Laikraščių leidyba","581300","Laikraščių leidyba"
"J","Informacija ir ryšiai","58","Leidybinė veikla","581","Knygų, periodinių leidinių leidyba ir kita leidybinė veikla","5814","Žurnalų ir periodinių leidinių leidyba","581400","Žurnalų ir periodinių leidinių leidyba"
"J","Informacija ir ryšiai","59","Kino filmų, vaizdo filmų ir televizijos programų gamyba, garso įrašymo ir muzikos įrašų leidybos veikla","591","Kino filmų, vaizdo filmų ir televizijos programų rengėjų veikla","5910","Kino filmų, vaizdo filmų ir televizijos programų rengėjų veikla","591000","Kino filmų, vaizdo filmų ir televizijos programų rengėjų veikla"
"J","Informacija ir ryšiai","61","Telekomunikacijos","613","Palydovinio ryšio paslaugų veikla","6130","Palydovinio ryšio paslaugų veikla","613000","Palydovinio ryšio paslaugų veikla"
"J","Informacija ir ryšiai","62","Kompiuterių programavimo, konsultacinė ir susijusi veikla","620","Kompiuterių programavimo, konsultacinė ir susijusi veikla","6200","Kompiuterių programavimo, konsultacinė ir susijusi veikla","620000","Kompiuterių programavimo, konsultacinė ir susijusi veikla"
"J","Informacija ir ryšiai","63","Informacinių paslaugų veikla","631","Duomenų apdorojimo, interneto serverių paslaugų (prieglobos) ir susijusi veikla; interneto vartų paslaugų veikla","6311","Duomenų apdorojimo, interneto serverių paslaugų (prieglobos) ir susijusi veikla","631100","Duomenų apdorojimo, interneto serverių paslaugų (prieglobos) ir susijusi veikla"
"J","Informacija ir ryšiai","63","Informacinių paslaugų veikla","639","Kita informacinių paslaugų veikla","6390","Kita informacinių paslaugų veikla","639000","Kita informacinių paslaugų veikla"
"K","Finansinė ir draudimo veikla","64","Finansinių paslaugų veikla, išskyrus draudimą ir pensijų lėšų kaupimą","642","Kontroliuojančiųjų bendrovių veikla","6420","Kontroliuojančiųjų bendrovių veikla","642000","Kontroliuojančiųjų bendrovių veikla"
"K","Finansinė ir draudimo veikla","64","Finansinių paslaugų veikla, išskyrus draudimą ir pensijų lėšų kaupimą","643","Trestų, fondų ir panašių finansinių institucijų veikla","6430","Trestų, fondų ir panašių finansinių institucijų veikla","643000","Trestų, fondų ir panašių finansinių institucijų veikla"
