"daily_deaths_all","daily_deaths_def1","daily_deaths_def2","daily_deaths_def3","date","dgn_pos_cum","dgn_pos_day","dgn_prc_cum","dgn_prc_day","dgn_tot_day","municipality_code","municipality_name"
0,0,0,0,2020-03-21,0,0,0,0,0,"38","Varėnos r. sav."
3,0,0,0,2020-03-21,0,0,0,0,0,"39","Vilkaviškio r. sav."
2,0,0,0,2020-03-21,0,0,0,0,8,"41","Vilniaus r. sav."
2,0,0,0,2020-03-21,0,0,0,0,5,"42","Elektrėnų sav."
2,0,0,0,2020-03-21,0,0,0,0,0,"43","Zarasų r. sav."
1,0,0,0,2020-03-21,2,2,100,100,2,"45","Ignalinos r. sav."
0,0,0,0,2020-03-21,0,0,0,0,2,"46","Jonavos r. sav."
1,0,0,0,2020-03-21,0,0,0,0,0,"47","Joniškio r. sav."
0,0,0,0,2020-03-21,0,0,0,0,0,"48","Kalvarijos sav."
0,0,0,0,2020-03-21,0,0,0,0,2,"49","Kaišiadorių r. sav."
2,0,0,0,2020-03-21,2,0,16.7,0,5,"52","Kauno r. sav."
2,0,0,0,2020-03-21,0,0,0,0,3,"53","Kėdainių r. sav."
2,0,0,0,2020-03-21,0,0,0,0,1,"54","Kelmės r. sav."
1,0,0,0,2020-03-21,0,0,0,0,8,"55","Klaipėdos r. sav."
2,0,0,0,2020-03-21,0,0,0,0,4,"56","Kretingos r. sav."
0,0,0,0,2020-03-21,0,0,0,0,0,"57","Kupiškio r. sav."
1,0,0,0,2020-03-21,0,0,0,0,0,"58","Kazlų Rūdos sav."
0,0,0,0,2020-03-21,0,0,0,0,1,"59","Lazdijų r. sav."
2,0,0,0,2020-03-21,0,0,0,0,0,"61","Mažeikių r. sav."
0,0,0,0,2020-03-21,0,0,0,0,1,"62","Molėtų r. sav."
1,0,0,0,2020-03-21,0,0,0,0,0,"63","Pagėgių sav."
1,0,0,0,2020-03-21,0,0,0,0,0,"65","Pakruojo r. sav."
